strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
rc,5000,1,1,0,5000,5000,0,43,6688043.520333219,6737047.863884855,748231.4756519292,742164.9603174604,187685.0408637064,160000,5000
legacy,5000,1,1,0,5000,5000,0,43,14980.347118174992,14792.285705439104,334044726.6666667,338014120.5,438.98213777016036,16041975385,5000
arc,5000,1,1,0,5000,5000,0,43,6764233.759831471,6769452.082763165,739716.8089295722,738612.2289377289,176068.21241210864,160000,5000
clone,5000,1,1,0,5000,5000,0,43,9951831.122274945,10032087.672061931,503768.6573179619,498400.7577312534,462586.05847349286,0,5000
slice,5000,1,1,0,5000,5000,0,43,9906478.5539407,9992339.08332403,506114.7191284095,500383.34730113635,466668.45387071284,0,5000
rc,5000,1,1,0,5000,5000,0,44,6704309.219121453,6707813.045998577,746028.7025544031,745399.4289638932,120682.30096052951,160000,5000
legacy,5000,1,1,0,5000,5000,0,44,14730.948509256064,14680.517223635587,339582023.6666667,340587817.0,326.7567242481112,16415044580,5000
arc,5000,1,1,0,5000,5000,0,44,6713927.137429944,6695923.404695046,745120.8691603799,746724.0419372295,158306.62211289085,160000,5000
clone,5000,1,1,0,5000,5000,0,44,9765157.485152738,9857518.999209967,513209.9915110106,507228.0678571429,426860.6984628598,0,5000
slice,5000,1,1,0,5000,5000,0,44,9667963.897848079,9738224.717597196,518526.2423125783,513440.6067118227,442005.15487062006,0,5000
rc,5000,1,1,0,5000,5000,0,45,6670906.599604406,6658030.648372296,749801.1182888262,750972.8229054781,132080.20558795048,160000,5000
legacy,5000,1,1,0,5000,5000,0,45,14484.434821420924,14439.977790960143,345331846.1666667,346260945.0,291.85819593864073,16788113775,5000
arc,5000,1,1,0,5000,5000,0,45,6715619.201331701,6700928.8770070225,744813.2544221514,746165.2098214285,131905.3303056394,160000,5000
